goal_id,work_area_id,side,x_ft,y_ft,yaw_deg,x_m,y_m,yaw_rad
R4T2A3_S,R4T2A3,south,42.5,54.0,-90,12.954,16.459,-1.5708
R4T2A3_N,R4T2A3,north,42.5,61.0,90,12.954,18.593,1.5708
R4T2A4_S,R4T2A4,south,47.5,54.0,-90,14.478,16.459,-1.5708
R4T2A4_N,R4T2A4,north,47.5,61.0,90,14.478,18.593,1.5708
R4T3A1_S,R4T3A1,south,62.5,54.0,-90,19.050,16.459,-1.5708
R4T3A1_N,R4T3A1,north,62.5,61.0,90,19.050,18.593,1.5708
R4T3A2_S,R4T3A2,south,67.5,54.0,-90,20.574,16.459,-1.5708
R4T3A2_N,R4T3A2,north,67.5,61.0,90,20.574,18.593,1.5708
R4T3A3_S,R4T3A3,south,72.5,54.0,-90,22.098,16.459,-1.5708
R4T3A3_N,R4T3A3,north,72.5,61.0,90,22.098,18.593,1.5708
R4T3A4_S,R4T3A4,south,77.5,54.0,-90,23.622,16.459,-1.5708
R4T3A4_N,R4T3A4,north,77.5,61.0,90,23.622,18.593,1.5708
R4T4A1_S,R4T4A1,south,92.5,54.0,-90,28.194,16.459,-1.5708
R4T4A1_N,R4T4A1,north,92.5,61.0,90,28.194,18.593,1.5708
R4T4A2_S,R4T4A2,south,97.5,54.0,-90,29.718,16.459,-1.5708
R4T4A2_N,R4T4A2,north,97.5,61.0,90,29.718,18.593,1.5708
R4T4A3_S,R4T4A3,south,102.5,54.0,-90,31.242,16.459,-1.5708
R4T4A3_N,R4T4A3,north,102.5,61.0,90,31.242,18.593,1.5708
R4T4A4_S,R4T4A4,south,107.5,54.0,-90,32.766,16.459,-1.5708
R4T4A4_N,R4T4A4,north,107.5,61.0,90,32.766,18.593,1.5708
R4T5A1_S,R4T5A1,south,122.5,54.0,-90,37.338,16.459,-1.5708
R4T5A1_N,R4T5A1,north,122.5,61.0,90,37.338,18.593,1.5708
R4T5A2_S,R4T5A2,south,127.5,54.0,-90,38.862,16.459,-1.5708
R4T5A2_N,R4T5A2,north,127.5,61.0,90,38.862,18.593,1.5708
R4T5A3_S,R4T5A3,south,132.5,54.0,-90,40.386,16.459,-1.5708
R4T5A3_N,R4T5A3,north,132.5,61.0,90,40.386,18.593,1.5708
R4T5A4_S,R4T5A4,south,137.5,54.0,-90,41.910,16.459,-1.5708
R4T5A4_N,R4T5A4,north,137.5,61.0,90,41.910,18.593,1.5708
